subject,course_number,course_title,first_seen_term,last_seen_term
ARCH,A220,Bldg Materials/Systems,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A230,Architectural Design/Theory 3,Fall 2023,Fall 2026
ARCH,A230H,Arch Design/Theory 3 Honors,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A241,FrameCAD Workshop 1,Intersession/Spring 2023,Fall 2026
ARCH,A242,FrameCAD Workshop 2,Winter/Spring 2025,Fall 2026
ARCH,A243,FrameCAD Workshop 3,Fall 2025,Fall 2026
ARCH,A290,History Of Architecture 1,Intersession/Spring 2023,Fall 2026
ARCH,A290H,Hist of Architecture 1 Honors,Fall 2023,Fall 2026
ARCH,A296,History of Architecture 2,Intersession/Spring 2023,Fall 2026
ARCH,A296H,Hist of Architecture 2 Honors,Intersession/Spring 2023,Winter/Spring 2026
ARLN,A117,Aviation Management,Intersession/Spring 2023,Intersession/Spring 2023
ARLN,A137,"Operations, Terms, Safety",Fall 2023,Fall 2026
ARLN,A139,Flight Attendant Qualification,Intersession/Spring 2023,Winter/Spring 2026
ART,A030N,Painting for Lifelong Learning,Fall 2026,Fall 2026
ART,A036N,Figure Painting for Lifelong,Fall 2026,Fall 2026
ART,A043N,Sculpture Studio for Lifelong,Fall 2026,Fall 2026
ART,A048N,Jewelry for Lifelong Learning,Fall 2026,Fall 2026
ART,A070N,Printmaking for Lifelong Learn,Fall 2026,Fall 2026
ART,A075N,Screen Printing for Lifelong,Fall 2026,Fall 2026
ART,A100,Western Art Prehistory-Gothic,Intersession/Spring 2023,Winter/Spring 2026
ART,A100H,West Art Prehistory-Gothic Hon,Fall 2023,Fall 2025
ART,A101,Western Art Ren-Modern,Intersession/Spring 2023,Summer 2026
ART,A101H,Western Art Ren-Modern Honors,Intersession/Spring 2023,Winter/Spring 2026
ART,A102,Survey Modern/Contemporary Art,Intersession/Spring 2023,Fall 2026
ART,A103,Survey of Asian Art,Intersession/Spring 2023,Winter/Spring 2026
ART,A107,Introduction to Art,Intersession/Spring 2023,Fall 2026
ART,A108,Women in Art,Intersession/Spring 2023,Winter/Spring 2026
ART,A110,Color & Design: 2-D,Intersession/Spring 2023,Fall 2026
ART,A111,Color & Design: 3-D,Intersession/Spring 2023,Fall 2026
ART,A114,Art of the Ancient Americas,Fall 2023,Fall 2026
ART,A116,Furniture Making/Design,Intersession/Spring 2023,Fall 2026
ART,A118,Visual Communication 1,Intersession/Spring 2023,Fall 2026
ART,A120,Beginning Drawing,Intersession/Spring 2023,Fall 2026
ART,A121,Life Drawing 1,Intersession/Spring 2023,Fall 2026
ART,A122,Human Anat for Artists,Intersession/Spring 2023,Winter/Spring 2026
ART,A124,Advanced Drawing,Intersession/Spring 2023,Summer 2026
